slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	note	sources_checked	next_step
mikhail-mikhailovich-dobrotvorsky	M.M. ドブロトゥヴォールスキー	M.M. ドブロトゥヴォールスキー			Mikhail Mikhailovich Dobrotvorsky	Mikhail Mikhailovich Dobrotvorsky	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1520009407073729920 | https://cir.nii.ac.jp/crid/1520009407075455488 | https://cir.nii.ac.jp/crid/1520009407608531968 | https://cir.nii.ac.jp/crid/1520009408730600576 | https://cir.nii.ac.jp/crid/1520009409098458240 | https://cir.nii.ac.jp/crid/1520009409133108224 | https://cir.nii.ac.jp/crid/1520290883139606656 | https://cir.nii.ac.jp/crid/1520290883383706880 | https://cir.nii.ac.jp/crid/1520290883418610944 | https://cir.nii.ac.jp/crid/1520290884164419968 | https://cir.nii.ac.jp/crid/1520572357719702656 | https://cir.nii.ac.jp/crid/1520572358795155072 | https://cir.nii.ac.jp/crid/1520853833338825984 | https://cir.nii.ac.jp/crid/1520853833438063616 | https://cir.nii.ac.jp/crid/1520853833822302976 | https://cir.nii.ac.jp/crid/1520853834378445952 | https://cir.nii.ac.jp/crid/1520853835324678912 | https://cir.nii.ac.jp/crid/1520853835342963712	原語の表記・検索上の扱いを確認する。
suga-toshinoru	Suga Toshinoru (菅俊仍縷)?	Suga Toshinoru (菅俊仍縷)?			Suga Toshinoru	Suga Toshinoru	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
bugaeva-anna	アンナ・ブガエワ	アンナ・ブガエワ			Anna Bugaeva	Anna Bugaeva	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1010000781619527172 | https://cir.nii.ac.jp/crid/1010282257109473675 | https://cir.nii.ac.jp/crid/1040000781619527168 | https://cir.nii.ac.jp/crid/1040282256940510848 | https://cir.nii.ac.jp/crid/1040282257109473536 | https://cir.nii.ac.jp/crid/1050025031478968448 | https://cir.nii.ac.jp/crid/1360853567688055936 | https://cir.nii.ac.jp/crid/1390854717490726784 | https://cir.nii.ac.jp/crid/1970586434917385640 | https://cir.nii.ac.jp/crid/1971993809725705603	原語の表記・検索上の扱いを確認する。
ijas-silja	イヤス シリヤ	イヤス シリヤ			Ijas Silja	Ijas Silja	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1390573242839299200 | https://cir.nii.ac.jp/crid/1390576966668628992	原語の表記・検索上の扱いを確認する。
p-157hhhq	クスリコヤ	クスリコヤ					phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
josef-kreiner	クライナー ヨーゼフ	クライナー ヨーゼフ			Josef Kreiner	Josef Kreiner	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
kuwanno	クワンノ	クワンノ			Kuwanno	Kuwanno	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
keci	ケチ	ケチ			Keci	Keci	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
sicchari	シッチャリ	シッチャリ			Sicchari	Sicchari	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
p-idpctl	シン ウォンジ	シン ウォンジ			Shin Wonji	Shin Wonji	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
